天气之子,爱情动画奇幻,2019-11-01
误杀,剧情犯罪,2019-12-13
唐人街探案2,喜剧动作悬疑,2018-02-16
哪吒之魔童降世,动画喜剧奇幻,2019-07-26
少年的你,爱情青春剧情,2019-10-25
毒液2,动作科幻惊悚恐怖,2020-06-25
哥斯拉2：怪兽之王,科幻灾难动作,2019-05-31
命运之夜——天之杯3：春之歌,剧情动画奇幻,2020-03-28
战狼2,动作战争,2017-07-27
火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
